#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
GCPD/Vilnius.X_ADPS	4050.4	4051.3	3719	4577	254.3	3938.1	 	 	Vilnius X filter in GCPD (revised by Mann & von Braun 2014)
CTIO/CTIO.4054-214	4056.1	4055.5	3872	4266	207.9	4003.7	CTIO	 	CTIO 4054/214
OSN/Comet50.C3_z1	4057.3	4054.9	3994	4121	71.0	4355.5	OSN	 	C3 filter, zone 1; d50, OSN #61
NOT/NOT.121	4057.8	4056.1	3996	4124	60.1	4425.0	NOT	 	NOT filter 121, 406_6
CTIO/CTIO.4060-70	4059.7	4056.5	4000	4120	77.5	4264.8	CTIO	 	CTIO 4060/70
LICK/LICK.4043_60	4059.8	4057.2	3975	4146	65.2	4315.6	LICK	 	LICK, 4043_60
GCPD/Vilnius.X	4061.0	4061.0	3702	4604	269.8	6205.2	 	 	Vilnius X filter in GCPD (revised by Mann & von Braun 2014)
CFHT/CFHT.cfh1407	4062.1	4080.8	3337	4785	612.1	3697.0	CFHT	 	cfh1407 Corion
NOT/NOT.024	4066.1	4064.8	4016	4118	35.3	4370.5	NOT	 	NOT filter 024, 407_3
ING/ING.079	4067.7	4066.9	4034	4103	30.1	4387.7	ING	 	ING filter 079, S4067
CFHT/CFHT.cfh1401	4070.7	4066.3	4000	4140	76.2	4038.6	CFHT	 	cfh1401 Comet
OSN/Comet50.C3_z2	4080.6	4076.9	4008	4160	74.9	3950.3	OSN	 	C3 filter, zone 2; d50, OSN #61
VATT/VATT.X_vilnius	4081.9	4080.7	3815	4519	221.0	4084.4	VATT	 	VATT X Vilnius filter
Galileo/SSI.Violet	4083.7	4085.6	3750	4480	355.6	4055.9	Galileo	SSI	Galileo SSI Violet filter
CAHA/CAHA.408_4	4085.9	4082.7	3951	4125	39.5	3576.1	CAHA	 	CAHA 408.4
CTIO/SOI.strom_v	4087.5	4085.0	3929	4246	150.7	4209.4	CTIO	SOI	SOI strom v filter
HST/WFPC2-WF.F410M	4089.1	4087.3	3894	4276	184.8	4150.3	HST	WFPC2	F410M filter for HST WFPC2 wide field camera (detector 4)
HST/WFPC2-PC.F410M	4089.1	4087.4	3894	4276	184.8	4150.3	HST	WFPC2	F410M filter for HST WFPC2 planetary camera (detector 1)
HST/FOC_F96.F410M	4089.8	4089.1	3880	4323	200.3	4142.3	HST	FOC	F410M filter for HST FOC_F/96
CAHA/CAHA.409_19	4095.9	4094.1	3891	4460	202.9	4145.6	CAHA	 	CAHA 409.19, Stromgren v
OSN/Lines.Hdelta_4101_z3	4097.3	4095.4	4000	4187	62.2	3558.8	OSN	 	Hdelta_4101 filter, zone 3, OSN #e04
LICK/LICK.4100_100	4098.4	4096.9	3902	4222	100.4	3890.3	LICK	 	LICK, 4100_100
NOT/NOT.131	4098.6	4097.1	4033	4170	66.2	3571.7	NOT	 	NOT filter 131, 410_6
OSN/Lines.Hdelta_4101_z2	4098.7	4097.2	4001	4190	61.1	3542.4	OSN	 	Hdelta_4101 filter, zone 2, OSN #e04
KPNO/KP4in.Strom_v	4101.4	4100.1	3932	4297	166.1	4144.3	KPNO	KP4in	Stromgren v
NOT/NOT.032	4101.8	4101.5	4024	4204	53.6	3492.4	NOT	 	NOT filter 032, Hdel 410_4
LICK/LICK.4060_70	4102.7	4102.0	4024	4187	73.0	3705.4	LICK	 	LICK, 4060_70
OSN/Lines.Hdelta_4101_z1	4103.2	4102.9	4013	4197	60.2	3508.5	OSN	 	Hdelta_4101 filter, zone 1, OSN #e04
STELLA/WiFSIP.Strom_v	4103.3	4102.0	3947	4269	186.5	4200.7	STELLA	WiFSIP	STELLA WiFSIP Stromgren v filter
